uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to other nonionizing radiation,,,,,,,,ICD10-BD,W90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to unspecified type of radiation,,,,,,,,ICD10-BD,W91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to excessive heat of man-made origin,,,,,,,,ICD10-BD,W92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to excessive cold of man-made origin,,,,,,,,ICD10-BD,W93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to high and low air pressure and changes in air pressure,,,,,,,,ICD10-BD,W94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to other and unspecified man-made environmental factors,,,,,,,,ICD10-BD,W99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to uncontrolled fire in building or structure,,,,,,,,ICD10-BD,X00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exposure to uncontrolled fire, not in building or structure",,,,,,,,ICD10-BD,X01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to controlled fire in building or structure,,,,,,,,ICD10-BD,X02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exposure to controlled fire, not in building or structure",,,,,,,,ICD10-BD,X03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to ignition of highly flammable material,,,,,,,,ICD10-BD,X04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to ignition or melting of nightwear,,,,,,,,ICD10-BD,X05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to ignition or melting of other clothing and apparel,,,,,,,,ICD10-BD,X06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exposure to other specified smoke, fire, and flames",,,,,,,,ICD10-BD,X08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exposure to unspecified smoke, fire, and flames",,,,,,,,ICD10-BD,X09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with hot drinks, food, fats, and cooking oils",,,,,,,,ICD10-BD,X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with hot tap water,,,,,,,,ICD10-BD,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with other hot fluids,,,,,,,,ICD10-BD,X12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with steam and hot vapors,,,,,,,,ICD10-BD,X13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with hot air and gases,,,,,,,,ICD10-BD,X14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with hot household appliances,,,,,,,,ICD10-BD,X15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with hot heating appliances, radiators, and pipes",,,,,,,,ICD10-BD,X16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with hot engines, machinery, and tools",,,,,,,,ICD10-BD,X17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with other hot metals,,,,,,,,ICD10-BD,X18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with other and unspecified heat and hot substances,,,,,,,,ICD10-BD,X19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with venomous snakes and lizards,,Snake bite,,,,,,ICD10-BD,X20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with venomous spiders,,,,,,,,ICD10-BD,X21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with scorpions,,,,,,,,ICD10-BD,X22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with hornets, wasps, and bees",,,,,,,,ICD10-BD,X23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with centipedes and venomous millipedes (tropical),,,,,,,,ICD10-BD,X24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with other specified venomous arthropods,,,,,,,,ICD10-BD,X25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with venomous marine animals and plants,,,,,,,,ICD10-BD,X26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with other specified venomous animals,,,,,,,,ICD10-BD,X27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with other specified venomous plants,,,,,,,,ICD10-BD,X28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact with unspecified venomous animal or plant,,,,,,,,ICD10-BD,X29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to excessive natural heat,,,,,,,,ICD10-BD,X30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to excessive natural cold,,,,,,,,ICD10-BD,X31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to sunlight,,,,,,,,ICD10-BD,X32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victim of lightning,,"Lightening, Thunder hit",,,,,,ICD10-BD,X33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victim of earthquake,,,,,,,,ICD10-BD,X34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victim of volcanic eruption,,,,,,,,ICD10-BD,X35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Victim of avalanche, landslide, and other earth movements",,,,,,,,ICD10-BD,X36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victim of cataclysmic storm,,,,,,,,ICD10-BD,X37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victim of flood,,,,,,,,ICD10-BD,X38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to other and unspecified forces of nature,,,,,,,,ICD10-BD,X39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics, and antirheumatics",,,,,,,,ICD10-BD,X40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs, not elsewhere classified",,,,,,,,ICD10-BD,X41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",,,,,,,,ICD10-BD,X42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,,,,,,,,ICD10-BD,X43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances",,,,,,,,ICD10-BD,X44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental poisoning by and exposure to alcohol,,,,,,,,ICD10-BD,X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapors,,,,,,,,ICD10-BD,X46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental poisoning by and exposure to other gases and vapors,,,,,,,,ICD10-BD,X47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental poisoning by and exposure to pesticides,,,,,,,,ICD10-BD,X48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,,,,,,,,ICD10-BD,X49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overexertion and strenuous or repetitive movements,,,,,,,,ICD10-BD,X50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travel and motion,,,,,,,,ICD10-BD,X51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prolonged stay in weightless environment,,,,,,,,ICD10-BD,X52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lack of food,,,,,,,,ICD10-BD,X53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lack of water,,,,,,,,ICD10-BD,X54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unspecified privation,,,,,,,,ICD10-BD,X57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to other specified factors,,,,,,,,ICD10-BD,X58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to unspecified factor,,,,,,,,ICD10-BD,X59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to unspecified factor causing fracture,,,,,,,,ICD10-BD,X59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exposure to unspecified factor causing other and unspecified injury,,,,,,,,ICD10-BD,X59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-poisoning (suicide) by and exposure to nonopioid analgesics, antipyretics, and antirheumatics",,Suicide,,,,,,ICD10-BD,X60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-poisoning (suicide) by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs, not elsewhere classified",,Suicide,,,,,,ICD10-BD,X61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-poisoning (suicide) by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",,Suicide,,,,,,ICD10-BD,X62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-poisoning (suicide) by and exposure to other drugs acting on the autonomic nervous system,,Suicide,,,,,,ICD10-BD,X63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-poisoning (suicide) by and exposure to other and unspecified drugs, medicaments, and biological substances",,Suicide,,,,,,ICD10-BD,X64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-poisoning (suicide) by and exposure to alcohol,,Suicide,,,,,,ICD10-BD,X65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-poisoning (suicide) by and exposure to organic solvents and halogenated hydrocarbons and their vapors,,Suicide,,,,,,ICD10-BD,X66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-poisoning (suicide) by and exposure to other gases and vapors,,Suicide,,,,,,ICD10-BD,X67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-poisoning (suicide) by and exposure to pesticides,,Suicide,,,,,,ICD10-BD,X68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-poisoning (suicide) by and exposure to other and unspecified chemicals and noxious substances,,Suicide,,,,,,ICD10-BD,X69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-harm (suicide) by hanging, strangulation, and suffocation",,Suicide,,,,,,ICD10-BD,X70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by drowning and submersion,,Suicide,,,,,,ICD10-BD,X71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by handgun discharge,,Suicide,,,,,,ICD10-BD,X72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-harm (suicide) by rifle, shotgun, and larger firearm discharge",,Suicide,,,,,,ICD10-BD,X73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by other and unspecified firearm discharge,,Suicide,,,,,,ICD10-BD,X74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by explosive material,,Suicide,,,,,,ICD10-BD,X75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-harm (suicide) by smoke, fire, and flames",,Suicide,,,,,,ICD10-BD,X76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intentional self-harm (suicide) by steam, hot vapors, and hot objects",,Suicide,,,,,,ICD10-BD,X77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by sharp object,,Suicide,,,,,,ICD10-BD,X78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by blunt object,,Suicide,,,,,,ICD10-BD,X79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by jumping from a high place,,Suicide,,,,,,ICD10-BD,X80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by jumping or lying before moving object,,Suicide,,,,,,ICD10-BD,X81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by crashing of motor vehicle,,Suicide,,,,,,ICD10-BD,X82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by other specified means,,Suicide,,,,,,ICD10-BD,X83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intentional self-harm (suicide) by unspecified means,,Suicide,,,,,,ICD10-BD,X84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assault (homicide) by drugs, medicaments, and biological substances",,H/O assault,,,,,,ICD10-BD,X85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by corrosive substance,,H/O assault,,,,,,ICD10-BD,X86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by pesticides,,H/O assault,,,,,,ICD10-BD,X87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by gases and vapors,,H/O assault,,,,,,ICD10-BD,X88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by other specified chemicals and noxious substances,,H/O assault,,,,,,ICD10-BD,X89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by unspecified chemical or noxious substance,,H/O assault,,,,,,ICD10-BD,X90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assault (homicide) by hanging, strangulation, and suffocation",,H/O assault,,,,,,ICD10-BD,X91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by drowning and submersion,,H/O assault,,,,,,ICD10-BD,X92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by handgun discharge,,H/O assault,,,,,,ICD10-BD,X93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assault (homicide) by rifle, shotgun, and larger firearm discharge",,H/O assault,,,,,,ICD10-BD,X94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by other and unspecified firearm discharge,,H/O assault,,,,,,ICD10-BD,X95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by explosive material,,H/O assault,,,,,,ICD10-BD,X96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assault (homicide) by smoke, fire, and flames",,H/O assault,,,,,,ICD10-BD,X97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assault (homicide) by steam, hot vapors, and hot objects",,H/O assault,,,,,,ICD10-BD,X98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by sharp object,,H/O assault,,,,,,ICD10-BD,X99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by blunt object,,H/O assault,,,,,,ICD10-BD,Y00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by pushing from high place,,H/O assault,,,,,,ICD10-BD,Y01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by pushing or placing victim before moving object,,H/O assault,,,,,,ICD10-BD,Y02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by crashing of motor vehicle,,H/O assault,,,,,,ICD10-BD,Y03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by bodily force,,H/O assault,,,,,,ICD10-BD,Y04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sexual assault (homicide) by bodily force,,H/O assault,,,,,,ICD10-BD,Y05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neglect and abandonment,,,,,,,,ICD10-BD,Y06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Neglect and abandonment, by spouse or partner",,,,,,,,ICD10-BD,Y06.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Neglect and abandonment, by parent",,,,,,,,ICD10-BD,Y06.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Neglect and abandonment, by acquaintance or friend",,,,,,,,ICD10-BD,Y06.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Neglect and abandonment, by other specified persons",,,,,,,,ICD10-BD,Y06.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Neglect and abandonment, by unspecified person",,,,,,,,ICD10-BD,Y06.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other maltreatment syndromes ,,,,,,,,ICD10-BD,Y07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other maltreatment syndromes, by spouse or partner",,,,,,,,ICD10-BD,Y07.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other maltreatment syndromes, by parent",,,,,,,,ICD10-BD,Y07.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other maltreatment syndromes, by acquaintance or friend",,,,,,,,ICD10-BD,Y07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other maltreatment syndromes, by official authorities",,,,,,,,ICD10-BD,Y07.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other maltreatment syndromes, by other specified persons",,,,,,,,ICD10-BD,Y07.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other maltreatment syndromes, by unspecified person",,,,,,,,ICD10-BD,Y07.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by other specified means,,H/O assault,,,,,,ICD10-BD,Y08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assault (homicide) by unspecified means,,H/O assault,,,,,,ICD10-BD,Y09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to nonopioid analgesics, antipyretics, and antirheumatics, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs, not elsewhere classified, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to alcohol, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapors, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to other gases and vapors, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to pesticides, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent",,Poisoning,,,,,,ICD10-BD,Y19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hanging, strangulation, and suffocation, undetermined intent",,Hanging,,,,,,ICD10-BD,Y20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Drowning and submersion, undetermined intent",,Drowning,,,,,,ICD10-BD,Y21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Handgun discharge, undetermined intent",,,,,,,,ICD10-BD,Y22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rifle, shotgun, and larger firearm discharge, undetermined intent",,,,,,,,ICD10-BD,Y23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other and unspecified firearm discharge, undetermined intent",,,,,,,,ICD10-BD,Y24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with explosive material, undetermined intent",,,,,,,,ICD10-BD,Y25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exposure to smoke, fire, and flames, undetermined intent",,,,,,,,ICD10-BD,Y26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with steam, hot vapors, and hot objects, undetermined intent",,,,,,,,ICD10-BD,Y27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with sharp object, undetermined intent",,,,,,,,ICD10-BD,Y28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contact with blunt object, undetermined intent",,,,,,,,ICD10-BD,Y29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Falling, jumping, or pushed from a high place, undetermined intent",,Fall from height,,,,,,ICD10-BD,Y30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Falling, lying, or running before or into moving object, undetermined intent",,,,,,,,ICD10-BD,Y31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Crashing of motor vehicle, undetermined intent",,RTA,,,,,,ICD10-BD,Y32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other specified events, undetermined intent",,,,,,,,ICD10-BD,Y33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unspecified event, undetermined intent",,,,,,,,ICD10-BD,Y34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention,,,,,,,,ICD10-BD,Y35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention involving firearm discharge,,,,,,,,ICD10-BD,Y35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention involving explosives,,,,,,,,ICD10-BD,Y35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention involving gas,,,,,,,,ICD10-BD,Y35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention involving blunt objects,,,,,,,,ICD10-BD,Y35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention involving sharp objects,,,,,,,,ICD10-BD,Y35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal execution,,,,,,,,ICD10-BD,Y35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal intervention involving other specified means,,,,,,,,ICD10-BD,Y35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Legal intervention, means unspecified",,,,,,,,ICD10-BD,Y35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operations of war,,,,,,,,ICD10-BD,Y36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving explosion of marine weapons,,,,,,,,ICD10-BD,Y36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving destruction of aircraft,,,,,,,,ICD10-BD,Y36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving other explosions and fragments,,,,,,,,ICD10-BD,Y36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"War operations involving fires, conflagrations, and hot substances",,,,,,,,ICD10-BD,Y36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving firearm discharge and other forms of conventional warfare,,,,,,,,ICD10-BD,Y36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving nuclear weapons,,,,,,,,ICD10-BD,Y36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving biological weapons,,,,,,,,ICD10-BD,Y36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations involving chemical weapons and other forms of unconventional warfare,,,,,,,,ICD10-BD,Y36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War operations occurring after cessation of hostilities,,,,,,,,ICD10-BD,Y36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"War operations, unspecified",,,,,,,,ICD10-BD,Y36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, systemic antibiotics",,,,,,,,ICD10-BD,Y40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, penicillins",,,,,,,,ICD10-BD,Y40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, cefalosporins and other beta-lactam antibiotics",,,,,,,,ICD10-BD,Y40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, chloramphenicol group",,,,,,,,ICD10-BD,Y40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, macrolides",,,,,,,,ICD10-BD,Y40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, tetracyclines",,,,,,,,ICD10-BD,Y40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, aminoglycosides",,,,,,,,ICD10-BD,Y40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, rifamycins",,,,,,,,ICD10-BD,Y40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, antifungal antibiotics, systemically used",,,,,,,,ICD10-BD,Y40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, other systemic antibiotics",,,,,,,,ICD10-BD,Y40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, systemic antibiotic, unspecified",,,,,,,,ICD10-BD,Y40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, other systemic anti-infectives and antiparasitics",,,,,,,,ICD10-BD,Y41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, sulfonamides",,,,,,,,ICD10-BD,Y41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adverse effects in therapeutic use, antimycobacterial drugs",,,,,,,,ICD10-BD,Y41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
